id,编号,序号,名称,页面标题,精灵阶段,主属性,副属性,特性,特性描述,生命,物攻,魔攻,物防,魔防,速度,种族值总和,回顾,星光值,是否有异色,初阶名称,地区形态,进化条件,体型,重量,分布地区,更新版本,页面链接,立绘链接,立绘路径
476,345,10345,幽星光,幽星光,Ⅰ阶,幻,,守望星,触发星陨时消耗一半层数，仍造成满层伤害。,49,21,63,48,63,75,319,,,否,幽星光,,,0.4~0.55,0.6~1.65,行踪神秘,0.6,https://wiki.biligame.com/rocom/%E5%B9%BD%E6%98%9F%E5%85%89,https://patchwiki.biligame.com/images/rocom/8/88/f8eryhmo33y1cnnw7vl63hn3khncqhe.png,
477,346,10346,曜星光,曜星光,Ⅱ阶,幻,翼,守望星,触发星陨时消耗一半层数，仍造成满层伤害。,65,28,84,64,84,100,425,,,否,幽星光,,,0.88~1.05,3~4.5,行踪神秘,0.6,https://wiki.biligame.com/rocom/%E6%9B%9C%E6%98%9F%E5%85%89,https://patchwiki.biligame.com/images/rocom/3/3b/mnpjdnhn6lgvc6hz6ddu4dhvo1eepzm.png,
478,347,10347,暮星辰,暮星辰,最终阶段,幻,翼,守望星,触发星陨时消耗一半层数，仍造成满层伤害。,81,35,106,80,105,125,532,,,否,幽星光,,,1.85~2.05,7.5~10.5,行踪神秘,0.6,https://wiki.biligame.com/rocom/%E6%9A%AE%E6%98%9F%E8%BE%B0,https://patchwiki.biligame.com/images/rocom/8/87/t4odr9tclj4xhuivmm3c3l9vazzsk83.png,
479,348,10348,钨丝贝贝,钨丝贝贝,Ⅰ阶,机械,,狂欢开始,在场时，背包里会变化出随机精灵，随机精灵只能与本精灵相互更换。本精灵受到的克制伤害+25%。,62,68,63,78,54,33,358,,,否,钨丝贝贝,,,0.54~0.73,9.70~14.80,行踪神秘,,https://wiki.biligame.com/rocom/%E9%92%A8%E4%B8%9D%E8%B4%9D%E8%B4%9D,https://patchwiki.biligame.com/images/rocom/7/7c/ds73jtqy7ihzhow0h5ncrl8x3xhppgb.png,
480,349,10349,辉光幕机,辉光幕机,Ⅱ阶,机械,,狂欢开始,在场时，背包里会变化出随机精灵，随机精灵只能与本精灵相互更换。本精灵受到的克制伤害+25%。,83,91,84,104,72,44,478,,,否,钨丝贝贝,,,1.03~1.41,31.50~57.60,行踪神秘,,https://wiki.biligame.com/rocom/%E8%BE%89%E5%85%89%E5%B9%95%E6%9C%BA,https://patchwiki.biligame.com/images/rocom/3/34/2hlsdg9ixddhxp2s6va7pt3a92szqsz.png,
481,350,10350,机幕方舟,机幕方舟,最终阶段,机械,,狂欢开始,在场时，背包里会变化出随机精灵，随机精灵只能与本精灵相互更换。本精灵受到的克制伤害+25%。,104,113,105,130,90,55,597,,,否,钨丝贝贝,,,1.68~2.01,128.00~237.00,行踪神秘,,https://wiki.biligame.com/rocom/%E6%9C%BA%E5%B9%95%E6%96%B9%E8%88%9F,https://patchwiki.biligame.com/images/rocom/1/10/krwq0dk4nsdov7hbpgjg9hd2llgqolq.png,
482,351,10351,凡雀,凡雀,Ⅰ阶,翼,,展翅,在场时，自己携带的普通系技能变为翼系技能，若后于对手行动，自己受到的伤害+25%。,71,55,53,52,66,75,372,,,否,凡雀,,,0.35~0.50,3.08~6.00,行踪神秘,,https://wiki.biligame.com/rocom/%E5%87%A1%E9%9B%80,https://patchwiki.biligame.com/images/rocom/7/78/pw94kdm6tmqm4ku4hn33fli4bceoj6d.png,
483,352,10352,紫翎鹰,紫翎鹰,Ⅱ阶,翼,,展翅,在场时，自己携带的普通系技能变为翼系技能，若后于对手行动，自己受到的伤害+25%。,94,74,71,69,88,100,496,,,否,凡雀,,,0.65~0.85,13.04~20.50,行踪神秘,,https://wiki.biligame.com/rocom/%E7%B4%AB%E7%BF%8E%E9%B9%B0,https://patchwiki.biligame.com/images/rocom/2/2f/4z1dcs1ow1btyg70qcn74s05vivzk7x.png,
484,353,10353,凡鹰,凡鹰,最终阶段,翼,,展翅,在场时，自己携带的普通系技能变为翼系技能，若后于对手行动，自己受到的伤害+25%。,118,92,89,86,110,125,620,,,否,凡雀,,,1.64~2.23,46.35~68.27,行踪神秘,,https://wiki.biligame.com/rocom/%E5%87%A1%E9%B9%B0,https://patchwiki.biligame.com/images/rocom/f/f2/mjr3868sdrox5qo44kd6m3mnvma2wwa.png,
485,354,10354,小雪人,小雪人,Ⅰ阶,冰,,大雪球,自己使用2次不同的冰系技能后，对手获得4层<desc_id=1004>冻结</>，随后特性重置。,101,85,80,78,105,60,509,,,是,小雪人,,,0.75~0.94,43.30~87.50,行踪神秘,,https://wiki.biligame.com/rocom/%E5%B0%8F%E9%9B%AA%E4%BA%BA,https://patchwiki.biligame.com/images/rocom/2/20/4ktunty0lnhw7ocx4ldlm9cbmq5io3j.png,
486,355,10355,雪怪,雪怪,最终阶段,冰,,大雪球,自己使用2次不同的冰系技能后，对手获得4层<desc_id=1004>冻结</>，随后特性重置。,126,107,99,98,131,75,636,,,是,小雪人,,,1.75~2.33,120.00~187.40,行踪神秘,,https://wiki.biligame.com/rocom/%E9%9B%AA%E6%80%AA,https://patchwiki.biligame.com/images/rocom/9/99/d6u149ckn7clje7g6gr0a2je0ve8g51.png,
487,356,10356,爆焰仔,爆焰仔,Ⅰ阶,火,龙,大火球,自己使用2次不同的火系技能后，下次技能无需<desc_id=1007>蓄力</>，随后特性重置。,89,101,50,105,65,88,498,,,是,爆焰仔,,,0.65~0.85,21.00~38.50,行踪神秘,,https://wiki.biligame.com/rocom/%E7%88%86%E7%84%B0%E4%BB%94,https://patchwiki.biligame.com/images/rocom/2/2b/pixauemzakgy9bk8yt0pq1x4c1m888e.png,
488,357,10357,爆焰喷喷,爆焰喷喷,最终阶段,火,龙,大火球,自己使用2次不同的火系技能后，下次技能无需<desc_id=1007>蓄力</>，随后特性重置。,112,127,63,131,81,110,624,,,是,爆焰仔,,,1.65~1.81,47.50~69.50,行踪神秘,,https://wiki.biligame.com/rocom/%E7%88%86%E7%84%B0%E5%96%B7%E5%96%B7,https://patchwiki.biligame.com/images/rocom/c/c9/4kwiyv4q1ohug7ja97ftajf8r9usjqe.png,
489,358,10358,猴麦仔,猴麦仔,Ⅰ阶,普通,机械,换碟,自己携带的音波弹/音爆/金属噪音/午夜噪音威力提升，且获得<desc_id=3011>巧变</>：同系别技能。,93,75,121,50,102,88,529,,,是,猴麦仔,,,0.57~0.79,8.40~17.60,行踪神秘,,https://wiki.biligame.com/rocom/%E7%8C%B4%E9%BA%A6%E4%BB%94,https://patchwiki.biligame.com/images/rocom/d/db/lwsrkjfb6dtftj47770lvr4hyc5fadc.png,
490,359,10359,音碟吼,音碟吼,最终阶段,普通,机械,换碟,自己携带的音波弹/音爆/金属噪音/午夜噪音威力提升，且获得<desc_id=3011>巧变</>：同系别技能。,116,94,151,63,127,110,661,,,是,猴麦仔,,,0.77~1.08,23.10~40.80,行踪神秘,,https://wiki.biligame.com/rocom/%E9%9F%B3%E7%A2%9F%E5%90%BC,https://patchwiki.biligame.com/images/rocom/7/70/as6gc3vymzfws67futqaq3ymyr1ftbl.png,
491,360,10360,加油海葵,加油海葵,Ⅰ阶,水,萌,拉拉队长,若自己在<desc_id=1006>萌化</>状态下再获得萌化会解除<desc_id=1006>萌化</>。,93,87,87,102,102,76,547,,,是,加油海葵,,,0.35~0.47,2.90~4.15,行踪神秘,,https://wiki.biligame.com/rocom/%E5%8A%A0%E6%B2%B9%E6%B5%B7%E8%91%B5,https://patchwiki.biligame.com/images/rocom/f/f6/c7axbu88eu6bwzdii1j184sr6tucxt2.png,
492,361,10361,加油蟹,加油蟹,最终阶段,水,萌,拉拉队长,若自己在<desc_id=1006>萌化</>状态下再获得萌化会解除<desc_id=1006>萌化</>。,116,108,108,128,128,95,683,,,是,加油海葵,,,0.51~0.78,6.75~11.70,行踪神秘,,https://wiki.biligame.com/rocom/%E5%8A%A0%E6%B2%B9%E8%9F%B9,https://patchwiki.biligame.com/images/rocom/b/b7/bwgqo7846qudxrgaec4wvjdbqvddije.png,
493,362,10362,小丑豆豆,小丑豆豆,Ⅰ阶,恶,,戏耍,自己回复生命变为敌方扣除等量生命。,66,87,88,49,74,72,436,2400,32,是,小丑豆豆,,,0.48~0.65,4.85~6.35,行踪神秘,,https://wiki.biligame.com/rocom/%E5%B0%8F%E4%B8%91%E8%B1%86%E8%B1%86,https://patchwiki.biligame.com/images/rocom/3/38/j2mwwjgq0wtksv4tp0merzhbo7i88q6.png,
494,363,10363,小丑兔,小丑兔,Ⅱ阶,恶,,戏耍,自己回复生命变为敌方扣除等量生命。,88,116,118,66,99,96,583,4200,56,是,小丑豆豆,,,0.78~0.96,11.75~14.75,行踪神秘,,https://wiki.biligame.com/rocom/%E5%B0%8F%E4%B8%91%E5%85%94,https://patchwiki.biligame.com/images/rocom/6/6d/7yy4hm1g7qzk4jp6epg46savfr7s9im.png,
495,364,10364,小丑公爵,小丑公爵,最终阶段,恶,,戏耍,自己回复生命变为敌方扣除等量生命。,111,145,147,82,124,120,729,6000,80,是,小丑豆豆,,,1.24~1.63,38.50~47.60,行踪神秘,,https://wiki.biligame.com/rocom/%E5%B0%8F%E4%B8%91%E5%85%AC%E7%88%B5,https://patchwiki.biligame.com/images/rocom/b/bc/h4vncmj120kkvze5r3v09mn3r83cyxl.png,
496,365,10365,烟花团,烟花团,Ⅰ阶,火,毒,焰色反应,在场时，衰减的<desc_id=1002>灼烧</>变为相同层数的<desc_id=1001>中毒</>。,61,35,89,50,78,76,389,,,是,烟花团,,,0.33~0.50,5.05~6.32,行踪神秘,,https://wiki.biligame.com/rocom/%E7%83%9F%E8%8A%B1%E5%9B%A2,https://patchwiki.biligame.com/images/rocom/b/b6/crzh8lxgefh4jiuaiulfvnel7y27ene.png,
497,366,10366,烟花伯爵,烟花伯爵,最终阶段,火,毒,焰色反应,在场时，衰减的<desc_id=1002>灼烧</>变为相同层数的<desc_id=1001>中毒</>。,76,44,111,62,97,95,485,,,是,烟花团,,,0.60~0.88,10.50~22.50,行踪神秘,,https://wiki.biligame.com/rocom/%E7%83%9F%E8%8A%B1%E4%BC%AF%E7%88%B5,https://patchwiki.biligame.com/images/rocom/6/63/qfqaly4cyi2dg3w3c39zjcdjvsnjaey.png,
498,367,10367,咕咕帽,咕咕帽,Ⅰ阶,幽,,魔术帽,在场时，场上双方携带的技能获得<desc_id=3011>巧变</>：同系别技能。,103,74,72,110,76,80,515,,,是,咕咕帽,,,0.38~0.55,2.18~5.76,行踪神秘,,https://wiki.biligame.com/rocom/%E5%92%95%E5%92%95%E5%B8%BD,https://patchwiki.biligame.com/images/rocom/1/18/oy0yhhv7db7zz4b96avb9cd8ww877n5.png,
499,368,10368,咕德帽帽,咕德帽帽,最终阶段,幽,,魔术帽,在场时，场上双方携带的技能获得<desc_id=3011>巧变</>：同系别技能。,128,92,90,137,95,100,642,,,是,咕咕帽,,,0.69~0.96,7.68~14.30,行踪神秘,,https://wiki.biligame.com/rocom/%E5%92%95%E5%BE%B7%E5%B8%BD%E5%B8%BD,https://patchwiki.biligame.com/images/rocom/b/b2/bz0anm1rgidlncbl96oh2tct3sypavw.png,
500,369,10369,炫光迪迪,炫光迪迪,Ⅰ阶,电,光,安可,使用光系技能后，回合结束时自己<desc_id=1024>返场</>。,83,95,111,52,106,104,551,2400,32,是,炫光迪迪,,,0.47~0.68,26.00~37.10,行踪神秘,,https://wiki.biligame.com/rocom/%E7%82%AB%E5%85%89%E8%BF%AA%E8%BF%AA,https://patchwiki.biligame.com/images/rocom/2/2d/jfsrmy64ud4cmkgugh1b1tvjrxv99j8.png,
501,370,10370,霹雳迪迪,霹雳迪迪,最终阶段,电,光,安可,使用光系技能后，回合结束时自己返场。,104,119,139,65,133,130,690,6000,80,是,炫光迪迪,,,1.60~1.87,66.80~89.30,行踪神秘,,https://wiki.biligame.com/rocom/%E9%9C%B9%E9%9B%B3%E8%BF%AA%E8%BF%AA,https://patchwiki.biligame.com/images/rocom/a/a2/dymfn4mqa48352l6vb9oogupjbrlcqd.png,
502,371,10371,小鼓象,小鼓象,Ⅰ阶,机械,,合拍,若本回合自己与敌方使用的技能在系别/类型/能耗上每有1项相同，回合结束时获得物攻和物防永久+20%。,106,100,63,138,68,64,539,,,是,小鼓象,,,0.64~0.83,5.16~8.30,行踪神秘,,https://wiki.biligame.com/rocom/%E5%B0%8F%E9%BC%93%E8%B1%A1,https://patchwiki.biligame.com/images/rocom/0/01/4cl3lvmqy0xfw55jobl5h2jz1uba9z1.png,
503,372,10372,巨鼓象,巨鼓象,最终阶段,机械,,合拍,若本回合自己与敌方使用的技能在系别/类型/能耗上每有1项相同，回合结束时获得物攻和物防永久+20%。,133,125,79,173,85,80,675,,,是,小鼓象,,,0.93~1.20,35.60~59.10,行踪神秘,,https://wiki.biligame.com/rocom/%E5%B7%A8%E9%BC%93%E8%B1%A1,https://patchwiki.biligame.com/images/rocom/b/be/gme0i4md3g3rianh5x6xdk60j4p3jhz.png,
504,373,10373,牵线木偶,牵线木偶,Ⅰ阶,幻,,盲从,可以携带多个复写/借用/取念技能，非幻系技能能耗-2。,77,83,89,69,107,84,509,,,是,牵线木偶,,,0.63~0.91,5.97~8.70,行踪神秘,,https://wiki.biligame.com/rocom/%E7%89%B5%E7%BA%BF%E6%9C%A8%E5%81%B6,https://patchwiki.biligame.com/images/rocom/b/b5/tlle6a52fxnw4kinfwkpze95ubtxs8f.png,
505,374,10374,帅帅魔偶,帅帅魔偶,最终阶段,幻,,盲从,可以携带多个复写/借用/取念技能，非幻系技能能耗-2。,97,104,111,86,133,105,636,,,是,牵线木偶,,,0.89~1.27,15.10~21.20,行踪神秘,,https://wiki.biligame.com/rocom/%E5%B8%85%E5%B8%85%E9%AD%94%E5%81%B6,https://patchwiki.biligame.com/images/rocom/2/25/qjfnyp5cg0l1wyuoxsdqw5kfu9vxsfu.png,
506,375,10375,学院呱呱,学院呱呱,最终阶段,武,,留学生,自己全技能能耗+2，可以学习全部攻击技能石x。,132,99,99,92,92,100,614,,,否,学院呱呱,,,0.49~0.66,4.82~5.50,行踪神秘,,https://wiki.biligame.com/rocom/%E5%AD%A6%E9%99%A2%E5%91%B1%E5%91%B1,https://patchwiki.biligame.com/images/rocom/e/ed/5iykheuen7ytwki234zxp26ybmvsz7a.png,
507,,,不咕钟,不咕钟,Ⅰ阶,机械,幻,,,89,100,109,104,104,68,574,,,,,,,,,,,https://wiki.biligame.com/rocom/%E4%B8%8D%E5%92%95%E9%92%9F,https://patchwiki.biligame.com/images/rocom/c/c3/dk5vk1am9le9i6cy45fe8n2kjt98ojj.png,
508,,,乌咩,乌咩,1,萌,,,,5,5,5,5,5,5,30,,,,,,,,,,,https://wiki.biligame.com/rocom/%E4%B9%8C%E5%92%A9,,
509,,,乌角驮驮,乌角驮驮,Ⅱ阶,萌,,,,5,5,5,5,5,5,30,,,,,,,,,,,https://wiki.biligame.com/rocom/%E4%B9%8C%E8%A7%92%E9%A9%AE%E9%A9%AE,,
510,,,伊丽莎白,伊丽莎白,最终阶段,火,,,,141,174,174,115,113,126,843,,,,,,,,,,,https://wiki.biligame.com/rocom/%E4%BC%8A%E4%B8%BD%E8%8E%8E%E7%99%BD,,
511,,,健猫教练,健猫教练,最终阶段,武,,,,144,155,66,96,63,125,649,,,,,,,,,,,https://wiki.biligame.com/rocom/%E5%81%A5%E7%8C%AB%E6%95%99%E7%BB%83,https://patchwiki.biligame.com/images/rocom/f/f5/boskrht0c60nm3n3s6mb3d2r4jyyfrj.png,
512,,,兵螂,兵螂,Ⅱ阶,虫,武,,,91,134,123,77,77,72,574,,,,,,,,,,,https://wiki.biligame.com/rocom/%E5%85%B5%E8%9E%82,,
513,,,冰晶虎,冰晶虎,Ⅱ阶,冰,,,,5,5,5,5,5,5,30,,,,,,,,,,,https://wiki.biligame.com/rocom/%E5%86%B0%E6%99%B6%E8%99%8E,,
514,,,冰虎宝,冰虎宝,1,冰,,,,5,5,5,5,5,5,30,,,,,,,,,,,https://wiki.biligame.com/rocom/%E5%86%B0%E8%99%8E%E5%AE%9D,,
515,,,利刺毒蝎,利刺毒蝎,1,毒,,,,5,5,5,5,5,5,30,,,,,,,,,,,https://wiki.biligame.com/rocom/%E5%88%A9%E5%88%BA%E6%AF%92%E8%9D%8E,,
516,,,剧毒魔蝎,剧毒魔蝎,1,毒,,,,5,5,5,5,5,5,30,,,,,,,,,,,https://wiki.biligame.com/rocom/%E5%89%A7%E6%AF%92%E9%AD%94%E8%9D%8E,,
517,,,加尔,加尔,最终阶段,幽,,,,5,5,5,5,5,5,30,,,,,,,,,,,https://wiki.biligame.com/rocom/%E5%8A%A0%E5%B0%94,,
518,,,加灵,加灵,Ⅰ阶,普通,,,,5,5,5,5,5,5,30,,,,,,,,,,,https://wiki.biligame.com/rocom/%E5%8A%A0%E7%81%B5,,
519,,,加益,加益,Ⅱ阶,普通,,,,5,5,5,5,5,5,30,,,,,,,,,,,https://wiki.biligame.com/rocom/%E5%8A%A0%E7%9B%8A,,
520,,,十字蛙,十字蛙,Ⅱ阶,水,,,,5,5,5,5,5,5,30,,,,,,,,,,,https://wiki.biligame.com/rocom/%E5%8D%81%E5%AD%97%E8%9B%99,,
521,,,十字蝌蚪,十字蝌蚪,Ⅰ阶,水,,,,5,5,5,5,5,5,30,,,,,,,,,,,https://wiki.biligame.com/rocom/%E5%8D%81%E5%AD%97%E8%9D%8C%E8%9A%AA,,
522,,,千棘海刺,千棘海刺,最终阶段,水,毒,溶解扩散,每携带一个毒系技能，水系技能额外赋予2层中毒。,0,0,0,0,0,0,0,,,,海盔虫（本来的样子）,,,,,,,https://wiki.biligame.com/rocom/%E5%8D%83%E6%A3%98%E6%B5%B7%E5%88%BA,https://patchwiki.biligame.com/images/rocom/2/2b/ku8jft7nmenun3ty69wn7gqebht70of.png,
523,,,卡拉波斯,卡拉波斯,Ⅱ阶,恶,,,,149,158,58,90,73,100,628,,,,,,,,,,,https://wiki.biligame.com/rocom/%E5%8D%A1%E6%8B%89%E6%B3%A2%E6%96%AF,https://patchwiki.biligame.com/images/rocom/a/a4/sikl3gdg7nfmccyc1x8upq275uk8lsi.png,
524,,,卡波,卡波,Ⅰ阶,恶,,,,119,126,46,72,58,80,501,,,,,,,,,,,https://wiki.biligame.com/rocom/%E5%8D%A1%E6%B3%A2,https://patchwiki.biligame.com/images/rocom/9/92/4ijbzvvtkkaykdaceyscn11by0mqxbc.png,
525,,,厉毒鸩兽,厉毒鸩兽,最终阶段,毒,,,,5,5,5,5,5,5,30,,,,,,,,,,,https://wiki.biligame.com/rocom/%E5%8E%89%E6%AF%92%E9%B8%A9%E5%85%BD,,
526,,,古拉海象,古拉海象,Ⅰ阶,冰,,,,152,111,110,99,80,37,589,,,,,,,,,,,https://wiki.biligame.com/rocom/%E5%8F%A4%E6%8B%89%E6%B5%B7%E8%B1%A1,,
527,,,古齿帝牙,古齿帝牙,最终阶段,冰,,,,5,5,5,5,5,5,30,,,,,,,,,,,https://wiki.biligame.com/rocom/%E5%8F%A4%E9%BD%BF%E5%B8%9D%E7%89%99,,
528,,,叶眼魔,叶眼魔,Ⅱ阶,恶,水,,,161,179,161,117,122,102,842,,,,,,,,,,,https://wiki.biligame.com/rocom/%E5%8F%B6%E7%9C%BC%E9%AD%94,,
529,,,呆火鸟,呆火鸟,Ⅰ阶,火,地,,,5,5,5,5,5,5,30,,,,,,,,,,,https://wiki.biligame.com/rocom/%E5%91%86%E7%81%AB%E9%B8%9F,,
530,,,呼拉猫,呼拉猫,Ⅰ阶,武,,,,86,93,40,58,38,75,390,,,,,,,,,,,https://wiki.biligame.com/rocom/%E5%91%BC%E6%8B%89%E7%8C%AB,https://patchwiki.biligame.com/images/rocom/3/3d/snce7x2gvu73m7pu46f9jppzn76anvk.png,
531,,,喷火鸟,喷火鸟,Ⅱ阶,火,地,,,5,5,5,5,5,5,30,,,,,,,,,,,https://wiki.biligame.com/rocom/%E5%96%B7%E7%81%AB%E9%B8%9F,,
532,,,噬影蚕,噬影蚕,Ⅰ阶,幽,光,,,100,100,100,100,100,100,600,,,,,,,,,,,https://wiki.biligame.com/rocom/%E5%99%AC%E5%BD%B1%E8%9A%95,,
533,,,圣凯布米龙,圣凯布米龙,1,火,,,,5,5,5,5,5,5,30,,,,,,,,,,,https://wiki.biligame.com/rocom/%E5%9C%A3%E5%87%AF%E5%B8%83%E7%B1%B3%E9%BE%99,,
534,,,圣草迪莫,圣草迪莫,Ⅱ阶,光,草,,,97,71,71,86,86,120,531,,,,,,,,,,,https://wiki.biligame.com/rocom/%E5%9C%A3%E8%8D%89%E8%BF%AA%E8%8E%AB,https://patchwiki.biligame.com/images/rocom/3/3c/bxd9xwuu9cifg2pwn7b87ok2ia1v8f4.png,
535,,,坚角龙,坚角龙,Ⅱ阶,地,,,,5,5,5,5,5,5,30,,,,,,,,,,,https://wiki.biligame.com/rocom/%E5%9D%9A%E8%A7%92%E9%BE%99,,
536,,,堇楹苞,堇楹苞,1,毒,,,,5,5,5,5,5,5,30,,,,,,,,,,,https://wiki.biligame.com/rocom/%E5%A0%87%E6%A5%B9%E8%8B%9E,,
537,,,增肌猫,增肌猫,Ⅱ阶,武,,,,115,124,53,77,50,100,519,,,,,,,,,,,https://wiki.biligame.com/rocom/%E5%A2%9E%E8%82%8C%E7%8C%AB,https://patchwiki.biligame.com/images/rocom/9/99/sb3afozexbo638za6mnwjjfxc4c63b3.png,
538,,,壳栗丝鼠,壳栗丝鼠,Ⅱ阶,毒,,,,136,73,75,84,120,100,588,,,,,,,,,,,https://wiki.biligame.com/rocom/%E5%A3%B3%E6%A0%97%E4%B8%9D%E9%BC%A0,https://patchwiki.biligame.com/images/rocom/b/b4/kvlkrcrxqjybsirgv41lxclkckzvtg9.png,
539,,,多灵,多灵,Ⅰ阶,幽,,,,15,15,15,15,15,30,105,,,,,,,,,,,https://wiki.biligame.com/rocom/%E5%A4%9A%E7%81%B5,https://patchwiki.biligame.com/images/rocom/0/03/1t9bj4c85dq34ix6zafjnp3yroqm62e.png,
540,,,多灵主,多灵主,Ⅱ阶,幽,,,,20,20,20,20,20,40,140,,,,,,,,,,,https://wiki.biligame.com/rocom/%E5%A4%9A%E7%81%B5%E4%B8%BB,https://patchwiki.biligame.com/images/rocom/5/5c/4va1760l7qlrf42u9j3vjbtbnbz7ugd.png,
541,,,夜游魔,夜游魔,最终阶段,翼,恶,,,161,76,77,162,162,140,778,,,,,,,,,,,https://wiki.biligame.com/rocom/%E5%A4%9C%E6%B8%B8%E9%AD%94,,
542,,,大古拉海象,大古拉海象,Ⅱ阶,冰,,,,191,139,137,124,100,46,737,,,,,,,,,,,https://wiki.biligame.com/rocom/%E5%A4%A7%E5%8F%A4%E6%8B%89%E6%B5%B7%E8%B1%A1,,
543,,,害羞球球,害羞球球,Ⅱ阶,地,普通,,,106,163,153,140,104,68,734,,,,,,,,,,,https://wiki.biligame.com/rocom/%E5%AE%B3%E7%BE%9E%E7%90%83%E7%90%83,,
544,,,小光,小光,最终阶段,恶,,,,5,5,5,5,5,5,30,,,,小光,,,,,,,https://wiki.biligame.com/rocom/%E5%B0%8F%E5%85%89,,
545,,,小冥龙,小冥龙,Ⅰ阶,幽,龙,,,100,100,100,100,100,100,600,,,,,,,,,,,https://wiki.biligame.com/rocom/%E5%B0%8F%E5%86%A5%E9%BE%99,,
546,,,小螂,小螂,Ⅰ阶,虫,,,,69,101,93,58,58,54,433,,,,,,,,,,,https://wiki.biligame.com/rocom/%E5%B0%8F%E8%9E%82,,
547,,,小银翼龙,小银翼龙,1,机械,,,,5,5,5,5,5,5,30,,,,,,,,,,,https://wiki.biligame.com/rocom/%E5%B0%8F%E9%93%B6%E7%BF%BC%E9%BE%99,,
548,,,幻雪兽,幻雪兽,Ⅱ阶,冰,,,,5,5,5,5,5,5,30,,,,,,,,,,,https://wiki.biligame.com/rocom/%E5%B9%BB%E9%9B%AA%E5%85%BD,,
549,,,星云旅者,星云旅者,最终阶段,翼,幻,穹顶之下,使用攻击技能时，敌方所有印记变为星陨。,111,35,120,56,86,120,528,,,,星云旅者,,,,,,,https://wiki.biligame.com/rocom/%E6%98%9F%E4%BA%91%E6%97%85%E8%80%85,https://patchwiki.biligame.com/images/rocom/c/c6/ojsgayka4n64hh7c1qlgkwy02vmtk0k.png,
550,,,曲率飞鱼,曲率飞鱼,1,幻,,,,5,5,5,5,5,5,30,,,,,,,,,,,https://wiki.biligame.com/rocom/%E6%9B%B2%E7%8E%87%E9%A3%9E%E9%B1%BC,,
551,,,曲率龙卷,曲率龙卷,1,幻,,,,5,5,5,5,5,5,30,,,,,,,,,,,https://wiki.biligame.com/rocom/%E6%9B%B2%E7%8E%87%E9%BE%99%E5%8D%B7,,
552,,,机甲小子,机甲小子,最终阶段,机械,,四轴机床,若释放的4号位技能为该精灵未使用过的技能，能耗-3。,92,45,92,71,90,85,475,,,,齿轮小子,,,,,,,https://wiki.biligame.com/rocom/%E6%9C%BA%E7%94%B2%E5%B0%8F%E5%AD%90,https://patchwiki.biligame.com/images/rocom/a/a9/njpmo5vfqun0bmcj2yjddb63csxv45k.png,
553,,,权杖-V,权杖-V,Ⅱ阶,机械,,机械变式,自己携带的技能每回合位置变化时，该技能能耗-1。,103,105,97,136,136,75,652,,,,权杖-Ⅱ,,,0.95-1.05,98.00-108.00,,0.1,https://wiki.biligame.com/rocom/%E6%9D%83%E6%9D%96-V,https://patchwiki.biligame.com/images/rocom/4/48/3q6ayuw1izahigtzccg2pfpvo81xkwn.png,
554,,,栗鼠,栗鼠,Ⅰ阶,毒,,,,108,58,60,67,96,80,469,,,,,,,,,,,https://wiki.biligame.com/rocom/%E6%A0%97%E9%BC%A0,https://patchwiki.biligame.com/images/rocom/e/e6/8s2dxjyrs6md9tyk3vsgbf69to1rzj7.png,
555,,,格布布,格布布,Ⅱ阶,冰,,,,5,5,5,5,5,5,30,,,,,,,,,,,https://wiki.biligame.com/rocom/%E6%A0%BC%E5%B8%83%E5%B8%83,,
556,,,格斗小五,格斗小五,最终阶段,武,,擒拿,攻击技能应对成功时，回复25%生命。,85,88,88,116,90,135,602,,,,格斗小五,,,"1.45,1.55","49.50,54.60",,,https://wiki.biligame.com/rocom/%E6%A0%BC%E6%96%97%E5%B0%8F%E4%BA%94,https://patchwiki.biligame.com/images/rocom/9/99/2pffaiiow2bbn68xjlmjbkkk84jnphz.png,
557,,,格斗小八,格斗小八,最终阶段,武,,受身,防御技能应对成功时，速度永久+40。,135,128,72,112,91,66,604,,,,格斗小八,,,"1.30,1.40","38.50,43.50",,,https://wiki.biligame.com/rocom/%E6%A0%BC%E6%96%97%E5%B0%8F%E5%85%AB,https://patchwiki.biligame.com/images/rocom/4/49/mgwxfp8b2w4mztox77chf4spo72mg39.png,
558,,,格斗小六,格斗小六,最终阶段,武,,马步,状态技能应对成功时，获得10点能量。,65,145,75,119,92,150,646,,,,格斗小六,,,"1.50,1.60","52.50,59.60",,,https://wiki.biligame.com/rocom/%E6%A0%BC%E6%96%97%E5%B0%8F%E5%85%AD,https://patchwiki.biligame.com/images/rocom/7/73/hjt5rd0gg2hhkqu0r87172rq6sg5qft.png,
559,,,格格布,格格布,1,冰,,,,5,5,5,5,5,5,30,,,,,,,,,,,https://wiki.biligame.com/rocom/%E6%A0%BC%E6%A0%BC%E5%B8%83,,
560,,,梦残卷,梦残卷,1,幻,,,,5,5,5,5,5,5,30,,,,,,,,,,,https://wiki.biligame.com/rocom/%E6%A2%A6%E6%AE%8B%E5%8D%B7,,
561,,,武斗酷猫,武斗酷猫,,草,,,,137,126,126,118,125,108,740,,,,,,,,,,,https://wiki.biligame.com/rocom/%E6%AD%A6%E6%96%97%E9%85%B7%E7%8C%AB,,
